Seq No,intnum,persnum,age,educatn,earnings,hours,kids,married,kidsNew,marriedNew
51,60,177,42,12.0,20600,1976,2,married,k1,m1
52,61,5,36,17.0,8100,474,3,married,k2,m1
53,61,170,41,17.0,33059,1495,2,married,k1,m1
54,63,3,44,15.0,15000,1120,0,divorced,k1,m2
55,75,5,31,14.0,12700,1510,0,never married,k1,m2
56,79,3,39,15.0,19000,2256,3,divorced,k2,m2
57,80,3,37,17.0,50000,2331,0,never married,k1,m2
58,84,4,35,12.0,0,0,0,married,k1,m1
59,84,170,35,12.0,0,0,3,married,k2,m1
60,84,172,42,16.0,40000,1880,1,married,k1,m1
61,84,177,30,13.0,0,0,3,married,k2,m1
62,85,170,42,14.0,0,0,2,married,k1,m1
63,87,3,31,11.0,0,0,3,divorced,k2,m2
64,88,3,41,16.0,0,0,3,divorced,k2,m2
65,89,3,39,12.0,30000,1821,2,married,k1,m1
66,89,4,38,12.0,17000,2080,2,married,k1,m1
67,89,5,35,12.0,21200,2068,2,divorced,k1,m2
68,89,6,30,12.0,21645,1945,0,never married,k1,m2
69,90,3,31,16.0,24000,1560,0,married,k1,m1
70,90,173,48,16.0,26000,1680,2,married,k1,m1
71,96,3,34,12.0,0,0,3,married,k2,m1
73,98,1,45,16.0,25000,1871,0,never married,k1,m2
74,99,1,46,16.0,29000,1533,2,married,k1,m1
75,100,1,45,14.0,10040,2048,0,married,k1,m1
76,105,4,34,10.0,3678,466,4,divorced,k2,m2
77,105,5,33,8.0,410,52,0,never married,k1,m2
78,113,2,47,13.0,2700,1092,2,married,k1,m1
79,114,170,39,13.0,19000,1750,3,married,k2,m1
80,114,173,37,12.0,6000,939,3,married,k2,m1
81,117,2,43,17.0,10415,2805,2,married,k1,m1
82,121,7,33,17.0,0,0,3,married,k2,m1
83,121,170,36,16.0,26331,1800,2,married,k1,m1
84,121,173,31,16.0,100000,3500,1,married,k1,m1
85,122,170,44,15.0,14000,1093,2,married,k1,m1
86,122,171,32,12.0,20000,2040,1,married,k1,m1
87,126,2,48,12.0,15000,2080,1,divorced,k1,m2
88,127,3,44,12.0,32600,1349,3,married,k2,m1
89,127,4,38,12.0,18000,1882,2,married,k1,m1
90,128,172,30,16.0,20000,1260,2,married,k1,m1
91,129,4,42,8.0,0,0,4,never married,k2,m2
93,129,6,34,9.0,0,0,3,separated,k2,m2
94,129,187,38,15.0,2250,1170,6,married,k2,m1
95,131,172,35,12.0,2000,2080,0,married,k1,m1
96,134,2,35,15.0,10000,1588,0,never married,k1,m2
97,151,5,37,16.0,10000,1300,0,never married,k1,m2
98,151,21,46,16.0,0,0,4,married,k2,m1
99,151,171,39,16.0,0,0,3,married,k2,m1
100,156,2,50,12.0,20000,2044,2,married,k1,m1
101,165,4,43,17.0,0,0,2,married,k1,m1
102,165,170,49,12.0,40000,3120,5,married,k2,m1
103,166,170,42,16.0,0,0,4,married,k2,m1
104,173,3,40,12.0,22644,2040,3,married,k2,m1
105,173,4,38,12.0,0,0,4,married,k2,m1
106,173,5,36,16.0,25000,2172,3,married,k2,m1
107,174,3,45,17.0,32000,1648,3,married,k2,m1
108,174,6,37,15.0,0,0,1,married,k1,m1
109,174,171,36,13.0,11637,2170,3,married,k2,m1
110,174,175,31,17.0,28000,2400,1,married,k1,m1
111,176,21,45,17.0,10000,733,0,married,k1,m1
112,178,3,35,15.0,35000,1920,3,married,k2,m1
113,180,171,32,12.0,0,0,3,married,k2,m1
114,181,170,47,12.0,35227,1560,1,married,k1,m1
115,181,171,33,14.0,17000,1162,2,married,k1,m1
116,186,3,46,16.0,52000,2269,1,divorced,k1,m2
117,189,170,32,12.0,6000,1128,1,married,k1,m1
118,190,3,35,10.0,0,0,2,married,k1,m1
119,190,4,33,10.0,0,0,2,never married,k1,m2
120,191,3,44,17.0,0,0,2,married,k1,m1
121,197,4,42,14.0,0,0,5,married,k2,m1
122,198,2,41,17.0,45000,2162,2,married,k1,m1
123,198,173,32,17.0,26000,1960,0,married,k1,m1
124,200,5,33,16.0,40000,210,0,married,k1,m1
125,200,170,32,14.0,15000,2856,5,divorced,k2,m2
126,200,175,44,17.0,36000,1200,1,married,k1,m1
127,203,4,38,14.0,57000,1852,0,married,k1,m1
128,203,5,33,14.0,0,0,2,married,k1,m1
129,203,174,41,14.0,27000,1568,0,married,k1,m1
130,209,170,37,16.0,15000,1828,1,married,k1,m1
131,214,2,47,12.0,14000,1483,3,married,k2,m1
132,215,21,44,12.0,25000,1944,1,married,k1,m1
133,217,170,38,12.0,0,0,3,married,k2,m1
134,221,2,43,15.0,19000,2680,3,married,k2,m1
135,222,1,44,16.0,19326,1603,3,divorced,k2,m2
136,223,170,44,17.0,30000,1984,2,married,k1,m1
137,227,3,32,16.0,8500,1310,0,divorced,k1,m2
138,228,5,38,16.0,240000,2050,1,married,k1,m1
139,228,172,40,14.0,2000,323,2,married,k1,m1
140,242,173,33,13.0,0,0,1,married,k1,m1
142,245,170,44,16.0,37000,1821,3,married,k2,m1
143,246,3,41,17.0,35068,1673,2,married,k1,m1
144,250,2,47,12.0,0,0,3,married,k2,m1
145,263,5,42,12.0,13000,1960,3,married,k2,m1
146,265,2,49,13.0,17600,1820,2,married,k1,m1
147,266,5,33,12.0,0,0,2,married,k1,m1
148,267,1,46,17.0,22500,1480,2,married,k1,m1
149,277,5,36,13.0,35000,2681,0,married,k1,m1
150,277,176,30,12.0,0,0,1,married,k1,m1
152,280,6,41,14.0,30000,2150,1,married,k1,m1
153,280,172,31,12.0,0,0,2,married,k1,m1
154,280,173,44,16.0,5250,316,2,married,k1,m1
155,284,170,30,16.0,28000,1555,1,married,k1,m1
156,287,4,41,13.0,51000,1936,1,married,k1,m1
157,287,170,38,12.0,9800,850,4,married,k2,m1
158,287,171,44,17.0,50800,1816,4,divorced,k2,m2
159,287,176,46,13.0,2520,1313,2,married,k1,m1
160,297,5,40,10.0,10000,1870,3,divorced,k2,m2
161,297,6,36,12.0,6000,1500,1,married,k1,m1
162,297,7,38,8.0,8000,1867,3,married,k2,m1
163,297,9,34,8.0,0,0,2,married,k1,m1
164,297,177,31,12.0,300,32,3,separated,k2,m2
165,301,4,42,12.0,0,0,3,married,k2,m1
167,301,170,42,11.0,8000,960,2,married,k1,m1
168,302,3,43,14.0,11000,1700,2,divorced,k1,m2
169,302,174,37,15.0,6946,494,2,married,k1,m1
170,302,177,39,16.0,40000,1776,2,married,k1,m1
171,303,171,46,16.0,42000,1520,2,married,k1,m1
172,307,3,47,17.0,40000,1520,0,never married,k1,m2
173,308,3,43,14.0,8500,1206,2,married,k1,m1
174,308,171,45,12.0,23689,1647,5,divorced,k2,m2
175,308,177,37,17.0,58333,700,0,married,k1,m1
176,311,3,34,13.0,20500,1663,3,separated,k2,m2
177,312,170,40,12.0,5258,851,2,married,k1,m1
178,315,4,34,14.0,25000,1052,0,married,k1,m1
179,315,170,33,14.0,17000,960,1,married,k1,m1
180,317,3,46,15.0,19000,1360,3,married,k2,m1
181,317,4,41,12.0,800,173,4,married,k2,m1
182,318,3,30,12.0,18400,2300,0,never married,k1,m2
183,319,5,43,16.0,34600,1792,1,divorced,k1,m2
184,320,170,32,13.0,0,0,3,married,k2,m1
185,321,4,39,17.0,9040,1213,2,married,k1,m1
186,322,3,31,13.0,27000,1680,0,never married,k1,m2
187,323,4,38,16.0,0,0,2,married,k1,m1
188,323,171,40,17.0,34000,948,2,married,k1,m1
189,327,2,47,12.0,30000,2400,4,married,k2,m1
190,338,3,42,14.0,47200,1985,2,separated,k1,m2
192,343,170,48,12.0,21308,1984,2,married,k1,m1
193,344,171,50,14.0,4000,1040,0,married,k1,m1
194,344,178,31,16.0,22000,1624,2,married,k1,m1
195,351,3,36,10.0,15330,1876,3,married,k2,m1
196,351,4,35,12.0,0,0,3,married,k2,m1
197,351,6,32,12.0,7000,2340,3,divorced,k2,m2
198,352,2,47,12.0,0,0,2,married,k1,m1
199,354,171,37,14.0,6000,1600,0,divorced,k1,m2
200,355,3,39,14.0,38800,1853,2,married,k1,m1
201,355,171,35,16.0,16000,1562,2,married,k1,m1
202,356,2,44,12.0,45000,2100,2,married,k1,m1
203,356,174,40,12.0,4670,890,1,married,k1,m1
204,361,173,39,11.0,14460,1832,2,married,k1,m1
205,361,175,33,15.0,12000,1936,0,married,k1,m1
206,368,170,33,15.0,10000,867,1,married,k1,m1
207,374,4,44,16.0,15000,1853,0,never married,k1,m2
209,375,3,32,16.0,26000,1077,1,married,k1,m1
210,376,175,33,16.0,3000,2000,0,never married,k1,m2
211,378,170,41,12.0,21050,1960,1,never married,k1,m2
212,391,3,40,16.0,37000,1500,2,married,k1,m1
213,391,4,33,17.0,83500,2594,0,never married,k1,m2
214,391,174,37,17.0,12500,750,0,divorced,k1,m2
215,404,173,41,12.0,200,1760,0,never married,k1,m2
216,409,2,40,13.0,23250,1645,3,married,k2,m1
217,409,174,37,12.0,12000,1904,3,married,k2,m1
218,414,3,43,16.0,17630,2042,4,divorced,k2,m2
219,414,4,42,16.0,10000,1597,4,married,k2,m1
220,414,5,40,16.0,0,0,2,married,k1,m1
221,414,6,35,14.0,13000,1991,0,married,k1,m1
222,415,3,41,14.0,44000,2304,0,never married,k1,m2
223,417,170,30,12.0,21051,2510,0,married,k1,m1
224,419,2,40,10.0,0,0,3,separated,k2,m2
225,419,173,35,13.0,9000,2000,3,married,k2,m1
226,423,171,36,12.0,15800,1960,3,married,k2,m1
227,423,173,30,11.0,14000,2000,2,married,k1,m1
228,424,170,45,14.0,17500,1536,2,married,k1,m1
229,428,170,39,16.0,25740,1240,3,married,k2,m1
230,431,2,49,12.0,12500,1275,3,married,k2,m1
231,432,172,42,12.0,18000,3056,1,married,k1,m1
232,433,6,38,12.0,39000,1890,0,married,k1,m1
233,433,8,30,12.0,700,139,3,divorced,k2,m2
234,433,170,32,12.0,21000,1840,3,married,k2,m1
235,436,4,45,14.0,15500,1800,2,married,k1,m1
236,436,171,45,12.0,34000,2000,2,married,k1,m1
237,436,172,42,16.0,15255,1494,2,married,k1,m1
238,436,173,38,15.0,3750,867,2,married,k1,m1
239,439,170,40,14.0,2300,1454,0,married,k1,m1
240,440,1,45,16.0,24000,2000,2,married,k1,m1
241,441,1,49,17.0,33000,1400,2,married,k1,m1
242,442,2,49,13.0,0,0,1,married,k1,m1
243,443,4,41,11.0,18800,1943,1,married,k1,m1
244,443,6,34,12.0,2000,800,2,married,k1,m1
245,444,2,44,16.0,0,0,2,married,k1,m1
246,445,2,47,17.0,28000,1560,3,married,k2,m1
247,446,3,43,16.0,36800,2160,0,divorced,k1,m2
248,450,5,40,17.0,36000,4000,0,separated,k1,m2
249,450,22,46,14.0,14000,1984,1,married,k1,m1
250,450,172,42,13.0,0,2080,4,married,k2,m1
251,450,174,37,12.0,12085,1843,2,married,k1,m1
252,452,4,38,12.0,21500,2000,0,never married,k1,m2
253,452,170,46,12.0,0,0,3,married,k2,m1
254,452,171,41,12.0,17259,1200,4,married,k2,m1
255,455,2,46,9.0,0,0,2,married,k1,m1
256,455,170,46,12.0,2000,765,2,married,k1,m1
257,459,170,36,16.0,28000,1600,1,married,k1,m1
258,461,170,42,12.0,21000,1788,2,married,k1,m1
259,465,173,39,12.0,700,2080,2,married,k1,m1
260,473,4,30,12.0,12200,2055,2,married,k1,m1
261,473,170,43,12.0,0,0,4,married,k2,m1
262,478,4,40,9.0,12200,1540,5,divorced,k2,m2
263,479,170,31,14.0,21371,1520,1,married,k1,m1
264,485,172,45,11.0,9700,1516,2,divorced,k1,m2
265,486,170,33,12.0,3000,1530,0,married,k1,m1
266,487,170,34,12.0,3000,1734,2,married,k1,m1
267,490,170,37,12.0,20000,1840,2,divorced,k1,m2
268,495,2,44,15.0,32250,1940,4,separated,k2,m2
269,496,5,38,10.0,19000,2075,1,separated,k1,m2
270,497,2,50,12.0,16754,1560,3,married,k2,m1
271,498,2,43,12.0,23000,1940,2,married,k1,m1
272,503,170,43,12.0,12701,1530,2,married,k1,m1
273,512,2,41,12.0,28052,1989,2,married,k1,m1
274,514,4,42,14.0,0,0,2,married,k1,m1
275,517,3,38,16.0,65000,2695,0,never married,k1,m2
276,517,4,34,12.0,28000,1250,2,married,k1,m1
277,519,2,44,13.0,125000,2600,1,divorced,k1,m2
278,519,170,39,12.0,24000,2128,0,married,k1,m1
279,532,170,44,13.0,0,0,2,married,k1,m1
280,534,170,43,12.0,4000,1050,2,married,k1,m1
281,536,5,38,12.0,0,0,0,married,k1,m1
282,541,171,44,15.0,21500,2202,2,separated,k1,m2
283,544,170,33,14.0,11000,1591,2,married,k1,m1
284,548,3,45,14.0,13000,667,1,married,k1,m1
285,548,175,34,14.0,120,142,2,married,k1,m1
286,548,176,32,14.0,12100,1024,2,divorced,k1,m2
287,556,3,40,13.0,1200,245,3,married,k2,m1
288,556,4,37,12.0,15000,1701,2,married,k1,m1
289,563,3,41,11.0,24000,1910,2,married,k1,m1
290,563,7,32,10.0,0,0,2,married,k1,m1
291,564,3,42,12.0,9800,1421,3,divorced,k2,m2
292,564,4,30,12.0,12884,1850,1,divorced,k1,m2
293,565,4,32,16.0,0,0,1,married,k1,m1
294,565,172,39,13.0,27000,2132,1,divorced,k1,m2
295,567,173,37,9.0,8000,1481,3,married,k2,m1
296,569,4,35,12.0,3852,347,4,never married,k2,m2
297,570,3,44,12.0,13000,1992,2,married,k1,m1
298,570,7,37,12.0,22910,2064,2,married,k1,m1
299,570,8,35,13.0,21000,2295,3,married,k2,m1
300,573,3,37,17.0,90000,2618,4,married,k2,m1
301,573,4,32,17.0,5368,805,2,married,k1,m1
302,575,3,39,14.0,8000,768,1,widowed,k1,m2
303,577,3,35,12.0,42000,1872,1,married,k1,m1
304,577,4,31,12.0,10500,1680,2,married,k1,m1
305,580,4,40,15.0,10000,1410,0,widowed,k1,m2
306,581,171,34,11.0,0,0,4,married,k2,m1
307,582,5,40,13.0,36500,2016,2,married,k1,m1
308,582,173,37,16.0,1000,120,2,married,k1,m1
309,582,174,38,12.0,24000,1526,1,married,k1,m1
310,586,2,50,13.0,30100,1173,2,divorced,k1,m2
311,587,2,49,13.0,35000,1972,1,married,k1,m1
312,593,4,30,16.0,5000,160,1,married,k1,m1
313,593,170,32,17.0,38000,2232,0,married,k1,m1
314,595,2,48,15.0,110000,2880,3,married,k2,m1
315,596,5,42,17.0,0,0,3,married,k2,m1
316,596,170,43,16.0,3800,420,2,married,k1,m1
317,596,172,42,16.0,15000,682,2,married,k1,m1
318,596,173,33,16.0,110000,2455,0,married,k1,m1
319,597,6,41,10.0,4379,451,2,married,k1,m1
320,597,176,32,12.0,0,0,3,married,k2,m1
321,599,1,48,17.0,33900,2040,3,divorced,k2,m2
322,602,2,46,12.0,210,29,4,married,k2,m1
323,602,171,42,15.0,3000,1555,0,married,k1,m1
325,607,5,39,14.0,0,0,4,married,k2,m1
326,607,170,40,12.0,18000,2250,2,married,k1,m1
327,607,174,33,16.0,30000,760,3,married,k2,m1
328,607,176,34,14.0,37000,2195,0,married,k1,m1
329,608,3,41,13.0,0,0,2,married,k1,m1
330,608,5,35,12.0,0,0,0,divorced,k1,m2
331,608,7,30,12.0,0,0,3,married,k2,m1
332,608,170,43,14.0,15000,1974,2,married,k1,m1
333,610,170,38,12.0,22200,2000,2,married,k1,m1
334,613,5,32,16.0,20758,1000,0,married,k1,m1
335,613,173,31,17.0,43762,2022,0,married,k1,m1
336,616,170,39,17.0,65000,204,3,married,k2,m1
337,618,4,33,17.0,0,0,2,married,k1,m1
338,620,3,46,15.0,0,0,2,married,k1,m1
339,620,4,37,16.0,0,0,3,married,k2,m1
340,620,5,34,15.0,11000,929,2,married,k1,m1
341,620,6,32,16.0,27000,832,1,married,k1,m1
342,625,5,40,16.0,4000,1140,2,married,k1,m1
343,625,172,42,12.0,24000,1376,2,married,k1,m1
344,626,5,36,12.0,16560,2080,3,married,k2,m1
345,626,6,37,11.0,0,0,3,divorced,k2,m2
346,626,7,39,12.0,800,110,1,divorced,k1,m2
347,626,8,41,12.0,16000,208,4,divorced,k2,m2
348,626,9,42,12.0,25000,1923,2,married,k1,m1
349,628,2,47,12.0,0,765,5,married,k2,m1
350,630,4,37,16.0,8000,1560,0,never married,k1,m2
351,630,170,39,16.0,12000,1666,2,married,k1,m1
352,630,171,43,17.0,35487,1369,2,married,k1,m1
353,631,4,42,17.0,11500,420,2,married,k1,m1
354,631,5,39,12.0,10500,2046,4,married,k2,m1
356,632,170,46,12.0,28000,2000,1,married,k1,m1
357,633,4,40,10.0,15786,2000,2,divorced,k1,m2
360,634,4,49,12.0,8150,1971,4,widowed,k2,m2
361,634,176,37,12.0,0,0,3,married,k2,m1
362,636,170,38,14.0,5000,540,3,married,k2,m1
363,639,171,35,12.0,7000,914,2,married,k1,m1
364,639,172,34,14.0,25050,4233,1,married,k1,m1
365,639,175,35,13.0,17000,1952,1,divorced,k1,m2
366,639,177,31,12.0,23000,2500,2,married,k1,m1
367,641,171,42,16.0,25300,1316,2,married,k1,m1
368,644,170,38,12.0,0,0,2,married,k1,m1
369,647,170,41,14.0,9000,892,4,married,k2,m1
370,647,176,37,14.0,35000,2115,2,married,k1,m1
371,649,2,47,12.0,0,0,3,married,k2,m1
372,650,5,31,12.0,0,0,3,divorced,k2,m2
373,650,172,32,12.0,18000,1218,1,married,k1,m1
374,650,175,36,16.0,65000,1307,1,married,k1,m1
375,652,3,37,16.0,0,0,2,married,k1,m1
376,652,4,35,17.0,3986,192,0,married,k1,m1
377,652,173,31,16.0,28008,2206,0,married,k1,m1
378,654,2,47,12.0,3800,770,4,divorced,k2,m2
379,655,173,31,14.0,50000,1920,0,married,k1,m1
380,656,3,37,12.0,10000,971,1,married,k1,m1
381,656,4,36,16.0,5000,537,2,married,k1,m1
382,656,5,31,14.0,5000,390,2,married,k1,m1
384,657,171,34,13.0,33000,1920,0,never married,k1,m2
385,657,177,36,14.0,47000,1560,0,married,k1,m1
386,660,3,42,14.0,16000,3238,2,married,k1,m1
387,660,171,34,13.0,3500,61,0,married,k1,m1
388,664,8,38,16.0,33000,1337,2,married,k1,m1
389,664,175,34,12.0,1000,576,2,married,k1,m1
390,664,177,36,12.0,8159,735,3,married,k2,m1
391,664,178,33,16.0,33000,2064,0,married,k1,m1
393,672,2,46,17.0,46000,3000,2,married,k1,m1
394,673,2,45,12.0,23500,2040,2,married,k1,m1
395,673,172,35,14.0,0,0,2,married,k1,m1
396,674,2,49,12.0,17000,1980,3,married,k2,m1
397,677,3,41,12.0,22000,1885,1,married,k1,m1
399,677,6,33,12.0,0,0,2,separated,k1,m2
400,677,172,34,14.0,9000,1600,2,married,k1,m1
401,682,3,43,14.0,42000,1808,1,divorced,k1,m2
402,686,170,41,12.0,21000,1968,1,married,k1,m1
403,686,171,48,12.0,0,0,3,married,k2,m1
404,691,170,34,14.0,0,0,2,married,k1,m1
405,691,172,30,14.0,30000,857,1,married,k1,m1
406,692,5,33,12.0,3200,561,2,married,k1,m1
407,692,6,32,12.0,28000,1880,4,married,k2,m1
408,694,3,34,9.0,7200,867,1,divorced,k1,m2
409,694,4,31,12.0,1250,1040,3,married,k2,m1
410,698,7,31,14.0,44000,2024,2,married,k1,m1
411,698,173,48,12.0,36000,2550,2,married,k1,m1
412,700,2,45,12.0,0,0,3,separated,k2,m2
413,702,2,45,17.0,43500,2388,2,married,k1,m1
414,703,2,33,17.0,48000,2450,0,married,k1,m1
415,704,3,30,13.0,4200,871,2,married,k1,m1
417,709,6,31,14.0,15500,2156,1,married,k1,m1
418,709,170,36,10.0,0,0,4,married,k2,m1
419,711,3,32,14.0,9054,1185,2,married,k1,m1
420,712,4,36,12.0,22000,2214,1,married,k1,m1
421,712,6,35,12.0,28500,2138,2,married,k1,m1
422,713,4,41,12.0,17000,2144,2,divorced,k1,m2
423,713,7,32,11.0,8000,1058,2,married,k1,m1
424,713,176,31,12.0,6000,2024,1,married,k1,m1
425,717,21,44,17.0,35000,1600,2,married,k1,m1
426,719,2,45,17.0,37250,1699,2,married,k1,m1
428,725,3,40,10.0,18720,2480,1,married,k1,m1
429,726,3,42,16.0,27500,2033,0,never married,k1,m2
430,727,3,34,16.0,31100,2097,1,never married,k1,m2
431,728,3,34,13.0,0,0,3,married,k2,m1
432,729,4,41,12.0,1000,2401,4,married,k2,m1
433,729,5,30,15.0,21000,1774,0,never married,k1,m2
434,729,171,35,12.0,10000,1750,2,married,k1,m1
435,731,2,47,16.0,31200,2250,0,married,k1,m1
436,731,170,38,12.0,30000,1880,0,married,k1,m1
437,732,4,39,11.0,7000,2002,2,never married,k1,m2
438,732,5,39,10.0,16417,2080,2,never married,k1,m2
439,733,5,32,16.0,27400,1512,0,married,k1,m1
440,733,171,35,12.0,26500,2205,0,married,k1,m1
441,733,173,32,16.0,24000,2100,2,married,k1,m1
442,736,7,41,12.0,22500,2044,0,never married,k1,m2
443,736,170,40,12.0,5867,975,2,married,k1,m1
444,737,4,37,17.0,0,0,3,married,k2,m1
445,738,2,50,12.0,0,0,2,married,k1,m1
446,749,2,45,15.0,15000,2564,3,separated,k2,m2
447,749,171,38,16.0,19000,1020,3,married,k2,m1
449,750,170,32,13.0,15000,1470,1,married,k1,m1
450,751,4,35,15.0,5000,486,2,married,k1,m1
451,751,170,37,12.0,18000,2110,2,married,k1,m1
452,751,172,30,15.0,17000,1006,4,married,k2,m1
453,754,171,32,12.0,19000,1814,1,married,k1,m1
454,759,171,43,16.0,33000,1399,2,married,k1,m1
455,759,173,40,14.0,28000,2205,1,married,k1,m1
456,762,171,33,14.0,3333,1690,0,divorced,k1,m2
457,769,2,48,13.0,6000,1040,5,married,k2,m1
458,769,173,32,12.0,0,0,2,married,k1,m1
459,771,2,46,12.0,8551,1809,2,divorced,k1,m2
460,773,3,30,12.0,940,619,5,married,k2,m1
462,775,3,34,17.0,23663,2350,0,never married,k1,m2
463,775,4,30,16.0,6367,1332,0,never married,k1,m2
464,775,171,31,13.0,9263,1380,0,never married,k1,m2
465,776,4,31,12.0,10313,848,1,divorced,k1,m2
466,777,4,44,15.0,4284,320,1,married,k1,m1
467,777,173,36,14.0,12000,1525,1,married,k1,m1
468,779,4,48,16.0,10000,1440,2,married,k1,m1
469,779,5,42,13.0,22000,2220,4,divorced,k2,m2
470,779,6,45,16.0,16500,2000,2,married,k1,m1
471,779,172,49,16.0,41000,3264,3,married,k2,m1
472,780,2,48,12.0,0,0,3,married,k2,m1
473,781,1,49,12.0,46100,768,0,never married,k1,m2
474,783,3,30,17.0,31000,2200,0,married,k1,m1
475,784,4,32,14.0,41500,2656,0,never married,k1,m2
476,789,3,39,12.0,0,0,1,married,k1,m1
477,792,170,39,16.0,26000,1462,1,never married,k1,m2
478,796,4,34,12.0,1105,80,2,married,k1,m1
479,796,5,32,12.0,16400,2100,2,married,k1,m1
480,796,173,35,12.0,21000,1760,2,married,k1,m1
481,798,3,43,17.0,50000,1950,0,married,k1,m1
482,808,2,47,14.0,56000,2214,2,divorced,k1,m2
483,811,3,45,12.0,12000,2328,0,divorced,k1,m2
484,817,2,49,16.0,13729,655,3,married,k2,m1
485,818,4,38,15.0,19000,1480,3,married,k2,m1
486,818,170,37,16.0,75000,2470,0,married,k1,m1
487,819,170,36,16.0,1185,156,3,married,k2,m1
488,819,172,40,12.0,8000,1040,2,married,k1,m1
489,821,170,37,12.0,18000,1241,2,married,k1,m1
490,823,4,44,17.0,3250,1573,2,married,k1,m1
491,823,170,45,17.0,34000,1904,3,married,k2,m1
492,826,2,50,9.0,7872,624,4,married,k2,m1
493,826,173,30,12.0,24000,2234,1,never married,k1,m2
494,828,2,47,14.0,22000,1840,1,married,k1,m1
495,830,2,50,12.0,10000,2277,2,married,k1,m1
496,830,3,30,15.0,0,0,1,divorced,k1,m2
497,830,181,32,13.0,30000,1928,2,married,k1,m1
498,831,1,50,13.0,21000,720,0,never married,k1,m2
499,831,171,38,14.0,21000,1750,0,never married,k1,m2
500,832,4,42,12.0,30000,2450,1,married,k1,m1
501,832,172,32,12.0,45000,155,2,married,k1,m1
502,833,174,39,12.0,7000,1280,0,married,k1,m1
503,833,176,32,16.0,30000,1912,1,married,k1,m1
504,834,2,50,15.0,9311,1747,4,married,k2,m1
505,834,173,49,12.0,19200,1960,1,married,k1,m1
506,835,173,32,16.0,45000,1602,2,married,k1,m1
507,835,176,36,17.0,60000,2160,0,married,k1,m1
508,838,2,46,14.0,40000,2205,1,divorced,k1,m2
509,840,7,38,10.0,0,0,2,never married,k1,m2
510,840,9,36,11.0,3000,800,1,never married,k1,m2
511,840,21,41,11.0,0,0,3,separated,k2,m2
512,840,170,41,12.0,15000,2205,2,divorced,k1,m2
513,840,171,34,8.0,1800,520,2,separated,k1,m2
514,840,172,44,9.0,0,0,4,married,k2,m1
515,840,173,38,12.0,3920,245,3,married,k2,m1
516,840,184,37,10.0,900,260,4,widowed,k2,m2
517,844,2,45,12.0,16800,198,3,married,k2,m1
518,845,2,50,12.0,2400,104,3,widowed,k2,m2
519,846,3,41,12.0,18000,1846,4,divorced,k2,m2
520,846,6,37,11.0,11000,2141,2,married,k1,m1
